date,time,hour,tempF,temp
6/15/2018,5:53:00,5,76,24.44444444
6/15/2018,6:53:00,6,78,25.55555556
6/15/2018,7:53:00,7,79,26.11111111
6/15/2018,8:53:00,8,85,29.44444444
6/15/2018,9:53:00,9,83,28.33333333
6/15/2018,10:53:00,10,85,29.44444444
6/15/2018,11:53:00,11,84,28.88888889
6/15/2018,12:53:00,12,86,30
6/15/2018,13:53:00,13,88,31.11111111
6/15/2018,14:53:00,14,89,31.66666667
6/15/2018,15:53:00,15,89,31.66666667
6/15/2018,16:53:00,16,88,31.11111111
6/15/2018,17:53:00,17,87,30.55555556
6/15/2018,18:53:00,18,84,28.88888889
6/15/2018,19:53:00,19,82,27.77777778
6/15/2018,20:53:00,20,81,27.22222222
6/15/2018,21:53:00,21,80,26.66666667
6/15/2018,22:53:00,22,80,26.66666667
6/15/2018,23:53:00,23,79,26.11111111
6/16/2018,0:53:00,0,79,26.11111111
6/16/2018,1:53:00,1,78,25.55555556
6/16/2018,2:53:00,2,77,25
6/16/2018,3:53:00,3,77,25
6/16/2018,4:53:00,4,78,25.55555556
6/16/2018,5:53:00,5,77,25
6/16/2018,6:53:00,6,80,26.66666667
6/16/2018,7:53:00,7,84,28.88888889
6/16/2018,8:53:00,8,86,30
6/16/2018,9:53:00,9,88,31.11111111
6/16/2018,10:53:00,10,90,32.22222222
6/16/2018,11:53:00,11,89,31.66666667
6/16/2018,12:53:00,12,89,31.66666667
6/16/2018,13:53:00,13,89,31.66666667
6/16/2018,14:53:00,14,90,32.22222222
6/16/2018,15:53:00,15,89,31.66666667
6/16/2018,16:53:00,16,88,31.11111111
6/16/2018,17:53:00,17,86,30
6/16/2018,18:53:00,18,85,29.44444444
6/16/2018,19:53:00,19,82,27.77777778
6/16/2018,20:53:00,20,81,27.22222222
6/16/2018,21:53:00,21,81,27.22222222
6/16/2018,22:53:00,22,80,26.66666667
6/16/2018,23:53:00,23,80,26.66666667
6/17/2018,0:53:00,0,79,26.11111111
6/17/2018,1:53:00,1,78,25.55555556
6/17/2018,2:53:00,2,78,25.55555556
6/17/2018,3:53:00,3,79,26.11111111
6/17/2018,4:53:00,4,78,25.55555556
6/17/2018,5:53:00,5,78,25.55555556
6/17/2018,6:53:00,6,81,27.22222222
6/17/2018,7:53:00,7,84,28.88888889
6/17/2018,8:24:00,8,83,28.33333333
6/17/2018,8:53:00,8,83,28.33333333
6/17/2018,9:11:00,9,80,26.66666667
6/17/2018,9:23:00,9,80,26.66666667
6/17/2018,9:29:00,9,81,27.22222222
6/17/2018,9:53:00,9,82,27.77777778
6/17/2018,10:53:00,10,85,29.44444444
6/17/2018,11:53:00,11,86,30
6/17/2018,12:53:00,12,87,30.55555556
6/17/2018,13:53:00,13,86,30
6/17/2018,14:53:00,14,88,31.11111111
6/17/2018,15:08:00,15,87,30.55555556
6/17/2018,15:25:00,15,86,30
6/17/2018,15:46:00,15,85,29.44444444
6/17/2018,15:53:00,15,85,29.44444444
6/17/2018,16:07:00,16,85,29.44444444
6/17/2018,16:53:00,16,82,27.77777778
6/17/2018,17:53:00,17,81,27.22222222
6/17/2018,18:53:00,18,80,26.66666667
6/17/2018,19:53:00,19,80,26.66666667
6/17/2018,20:53:00,20,80,26.66666667
6/17/2018,21:53:00,21,80,26.66666667
6/17/2018,22:53:00,22,78,25.55555556
6/17/2018,23:53:00,23,77,25
6/18/2018,0:53:00,0,77,25
6/18/2018,1:53:00,1,76,24.44444444
6/18/2018,2:53:00,2,76,24.44444444
6/18/2018,3:53:00,3,76,24.44444444
6/18/2018,4:53:00,4,77,25
6/18/2018,4:59:00,4,76,24.44444444
6/18/2018,5:29:00,5,77,25
6/18/2018,5:53:00,5,76,24.44444444
6/18/2018,6:53:00,6,75,23.88888889
6/18/2018,7:38:00,7,75,23.88888889
6/18/2018,7:48:00,7,75,23.88888889
6/18/2018,7:53:00,7,76,24.44444444
6/18/2018,8:51:00,8,77,25
6/18/2018,8:53:00,8,78,25.55555556
6/18/2018,9:17:00,9,77,25
6/18/2018,9:21:00,9,77,25
6/18/2018,9:30:00,9,76,24.44444444
6/18/2018,9:51:00,9,77,25
6/18/2018,9:53:00,9,77,25
6/18/2018,10:30:00,10,78,25.55555556
6/18/2018,10:51:00,10,79,26.11111111
6/18/2018,10:53:00,10,79,26.11111111
6/18/2018,11:53:00,11,82,27.77777778
6/18/2018,12:51:00,12,82,27.77777778
6/18/2018,12:53:00,12,83,28.33333333
6/18/2018,13:36:00,13,85,29.44444444
6/18/2018,13:53:00,13,83,28.33333333
6/18/2018,14:45:00,14,79,26.11111111
6/18/2018,14:53:00,14,79,26.11111111
6/18/2018,15:53:00,15,80,26.66666667
6/18/2018,16:53:00,16,78,25.55555556
6/18/2018,17:11:00,17,79,26.11111111
6/18/2018,17:53:00,17,78,25.55555556
6/18/2018,18:53:00,18,77,25
6/18/2018,19:53:00,19,76,24.44444444
6/18/2018,20:53:00,20,77,25
6/18/2018,21:10:00,21,77,25
6/18/2018,21:42:00,21,76,24.44444444
6/18/2018,21:53:00,21,76,24.44444444
6/18/2018,22:39:00,22,77,25
6/18/2018,22:51:00,22,75,23.88888889
6/18/2018,22:53:00,22,76,24.44444444
6/18/2018,22:59:00,22,76,24.44444444
6/18/2018,23:32:00,23,75,23.88888889
6/18/2018,23:39:00,23,75,23.88888889
6/18/2018,23:53:00,23,75,23.88888889
6/19/2018,0:53:00,0,74,23.33333333
6/19/2018,1:51:00,1,75,23.88888889
