date,time,hour,temp
6/15/2018,5:20,5,29.38
6/15/2018,5:30,5,29.47
6/15/2018,5:40,5,29.34
6/15/2018,5:50,5,29.3
6/15/2018,6:00,6,29.34
6/15/2018,6:10,6,29.34
6/15/2018,6:20,6,29.38
6/15/2018,6:30,6,29.38
6/15/2018,6:40,6,29.43
6/15/2018,6:50,6,29.38
6/15/2018,7:00,7,29.34
6/15/2018,7:10,7,29.17
6/15/2018,7:20,7,29.13
6/15/2018,7:30,7,29.17
6/15/2018,7:40,7,29.21
6/15/2018,7:50,7,29.26
6/15/2018,8:00,8,29.38
6/15/2018,8:10,8,29.34
6/15/2018,8:20,8,29.38
6/15/2018,8:30,8,29.43
6/15/2018,8:40,8,29.51
6/15/2018,8:50,8,29.34
6/15/2018,9:00,9,29.47
6/15/2018,9:10,9,29.56
6/15/2018,9:20,9,29.64
6/15/2018,9:30,9,29.64
6/15/2018,9:40,9,29.6
6/15/2018,9:50,9,29.77
6/15/2018,10:00,10,29.73
6/15/2018,10:10,10,29.73
6/15/2018,10:20,10,29.81
6/15/2018,10:30,10,29.77
6/15/2018,10:40,10,29.73
6/15/2018,10:50,10,29.68
6/15/2018,11:00,11,29.94
6/15/2018,11:10,11,29.9
6/15/2018,11:20,11,29.98
6/15/2018,11:30,11,29.98
6/15/2018,11:40,11,30.03
6/15/2018,11:50,11,30.07
6/15/2018,12:00,12,30.11
6/15/2018,12:10,12,30.24
6/15/2018,12:20,12,30.07
6/15/2018,12:30,12,29.94
6/15/2018,12:40,12,29.9
6/15/2018,12:50,12,30.16
6/15/2018,13:00,13,30.24
6/15/2018,13:10,13,30.03
6/15/2018,13:20,13,30.37
6/15/2018,13:30,13,30.11
6/15/2018,13:40,13,30.37
6/15/2018,13:50,13,30.54
6/15/2018,14:00,14,30.8
6/15/2018,14:10,14,31.06
6/15/2018,14:20,14,31.53
6/15/2018,14:30,14,31.87
6/15/2018,14:40,14,32.09
6/15/2018,14:50,14,32.82
6/15/2018,15:00,15,33.55
6/15/2018,15:10,15,33.37
6/15/2018,15:20,15,33.5
6/15/2018,15:30,15,34.49
6/15/2018,15:40,15,35.39
6/15/2018,15:50,15,34.06
6/15/2018,16:00,16,33.67
6/15/2018,16:10,16,34.45
6/15/2018,16:20,16,34.57
6/15/2018,16:30,16,34.1
6/15/2018,16:40,16,34.45
6/15/2018,16:50,16,34.23
6/15/2018,17:00,17,34.66
6/15/2018,17:10,17,34.83
6/15/2018,17:20,17,34.06
6/15/2018,17:30,17,34.45
6/15/2018,17:40,17,34.79
6/15/2018,17:50,17,35.69
